Order,Site,BIDS_subID,BIDS_session,BIDS_run,data_to_nifti,filter_count_runs_per_sub,filter_count_runs_per_session,Original_ID,Original_data_structure (subID to nifti),"Modality (T1w, T2w, T2*w, BOLD, etc)",Sex,Age(Years),Age(Weeks),Age(Days),DOB,Date of Scan,Experimental_Condition,Species,"Usage (PRIME1, UWMadison, PRIME2, BrainCharts)",Path to Raw Data Folder (ACCESS),Path to Raw Data Folder (Server),Notes,,JSON,Longitudinal_ID
1,site-NKIdev,001,001,1,sub-001/ses-001/anat/sub-001_ses-001_run-1_T1w.nii.gz,1,1,sub-MILO_ses-20210907_run-1_T1w.nii.gz,,T1w,M,0.08767099,4.57142857,32,8/6/21,9/7/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
2,site-NKIdev,001,001,2,sub-001/ses-001/anat/sub-001_ses-001_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20210907_run-2_T1w.nii.gz,,T1w,M,0.08767099,4.57142857,32,8/6/21,9/7/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
3,site-NKIdev,001,001,3,sub-001/ses-001/anat/sub-001_ses-001_run-3_T1w.nii.gz,0,0,sub-MILO_ses-20210907_run-3_T1w.nii.gz,,T1w,M,0.08767099,4.57142857,32,8/6/21,9/7/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
4,site-NKIdev,001,001,1,sub-001/ses-001/anat/sub-001_ses-001_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20210907_T2w.nii.gz,,T2w,M,0.08767099,4.57142857,32,8/6/21,9/7/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
5,site-NKIdev,001,001,1,001/001/func/sub-001_ses-001_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20210907_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
6,site-NKIdev,001,001,2,001/001/func/sub-001_ses-001_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20210907_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
7,site-NKIdev,001,001,3,001/001/func/sub-001_ses-001_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20210907_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
8,site-NKIdev,001,002,1,sub-001/ses-002/anat/sub-001_ses-002_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20210921_run-1_T1w.nii.gz,,T1w,M,0.12602705,6.57142857,46,8/6/21,9/21/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
9,site-NKIdev,001,002,2,sub-001/ses-002/anat/sub-001_ses-002_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20210921_run-2_T1w.nii.gz,,T1w,M,0.12602705,6.57142857,46,8/6/21,9/21/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
10,site-NKIdev,001,002,3,sub-001/ses-002/anat/sub-001_ses-002_run-3_T1w.nii.gz,0,0,sub-MILO_ses-20210921_run-3_T1w.nii.gz,,T1w,M,0.12602705,6.57142857,46,8/6/21,9/21/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
11,site-NKIdev,001,002,1,sub-001/ses-002/anat/sub-001_ses-002_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20210921_T2w.nii.gz,,T2w,M,0.12602705,6.57142857,46,8/6/21,9/21/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
12,site-NKIdev,001,002,1,001/002/func/sub-001_ses-002_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20210921_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
13,site-NKIdev,001,002,2,001/002/func/sub-001_ses-002_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20210921_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
14,site-NKIdev,001,002,3,001/002/func/sub-001_ses-002_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20210921_task-REST_run-3_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
15,site-NKIdev,001,003,1,sub-001/ses-003/anat/sub-001_ses-003_run-1_T1w.nii.gz,0,1,sub-MILO_ses-20211005_run-1_T1w.nii.gz,,T1w,M,0.16438311,8.57142857,60,8/6/21,10/5/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
16,site-NKIdev,001,003,2,sub-001/ses-003/anat/sub-001_ses-003_run-2_T1w.nii.gz,0,0,sub-MILO_ses-20211005_run-2_T1w.nii.gz,,T1w,M,0.16438311,8.57142857,60,8/6/21,10/5/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
17,site-NKIdev,001,003,1,sub-001/ses-003/anat/sub-001_ses-003_run-1_T2w.nii.gz,0,0,sub-MILO_ses-20211005_T2w.nii.gz,,T2w,M,0.16438311,8.57142857,60,8/6/21,10/5/21,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
18,site-NKIdev,001,003,1,001/003/func/sub-001_ses-003_task-REST_run-1_bold.nii.gz,0,0,sub-MILO_ses-20211005_task-REST_run-1_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
19,site-NKIdev,001,003,2,001/003/func/sub-001_ses-003_task-REST_run-2_bold.nii.gz,0,0,sub-MILO_ses-20211005_task-REST_run-2_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
20,site-NKIdev,001,003,3,001/003/func/sub-001_ses-003_task-REST_run-3_bold.nii.gz,0,0,sub-MILO_ses-20211005_task-REST_run-4_bold.nii.gz,,bold,M,,,,8/6/21,,Control,Macaca Mulatta,BrainCharts,,@tank:/projects/NHP_processed/developmental_in/',,,,
